Text,entities,entity_types,Combined
"There was also an official 32-bit HPFS IFS , called HPFS386 that improved performance and added some features , like variable size cache and Access Control Lists , and was available only in certain OS/2 server editions .","['HPFS', 'IFS', 'HPFS386', 'OS/2']","['Application', 'Device', 'Application', 'Application']","['HPFS', 'OS / 2']"
"Neighborhood Games offers players 24 versions of neighborhood games , including football , basketball , baseball , golf , tennis , lawn darts , horseshoes , and bocce .","['Neighborhood Games', 'neighborhood games', 'basketball', 'baseball', 'golf', 'tennis']","['Application', 'Application', 'Application', 'Application', 'Application', 'Device']","['Neighborhood Games', 'basketball']"
"Disk memory is used to store the operating system , object code , and data , but source code is kept on punched cards .","['Disk memory', 'operating system', 'punched cards']","['Device', 'General_Concept', 'Architecture']","['Disk memory', 'operating system', 'object code', 'punched cards']"
"In 1999 , Cadillac was also released for the PlayStation .","['Cadillac', 'PlayStation']","['Application', 'Device']","['Cadillac', 'PlayStation']"
"On April 23 , 2007 , Chair Entertainment announced through a company press release that Undertow was in development for Xbox Live Arcade .","['Undertow', 'Xbox Live Arcade']","['Application', 'Device']","['Undertow', 'Xbox Live Arcade']"
"Rockwell-ANITA 811 SL - 1974 , IC logic , 10-key keyboard , 8-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1041 - 1975 , IC logic , 10-key keyboard , 16-digit "" Panaplex II "" ( 10 digits mantissa , 2 digits exponent ) , scientific functions , memory . Rockwell-ANITA 1211 - date unknown , IC logic , 10-key keyboard , 12-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1211 SL - 1974 , IC logic , 10-key keyboard , 12-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1211P - 1973 , IC logic , 10-key keyboard , printer . Rockwell-ANITA 1216 - c1973 , IC logic , 10-key keyboard , 12-digit "" Panaplex "" -type display , % , memory , made in the US , Rockwell-ANITA 1432 - details unknown . ANITA 810 - date unknown , 8-digit red LED display .",['ANITA'],['Device'],"['printer', 'AN', 'AN', 'AN', 'AN']"
An online petition has urged smartphone makers to install kill switches in their devices .,"['smartphone', 'kill switches']","['Application', 'Device']","['smartphone', 'kill switches']"
"The New York Times technology columnist David Pogue described the Nexus Q as being a "" baffling "" device , stating that it was "" wildly overbuilt for its incredibly limited functions , and far too expensive "" , and arguing that it would probably appeal only to people "" whose living rooms are dominated by bowling ball collections. """,['Nexus Q'],['Device'],"['Nexus Q', 'Nexus Q']"
"They would release their titles mainly for ZX Spectrum , Amstrad CPC , Commodore 64 , MSX , IBM PC , Amstrad PCW , and in the last years also Atari ST and Amiga .","['ZX Spectrum', 'Amstrad CPC', 'MSX', 'IBM PC', 'Amstrad PCW', 'Atari ST', 'Amiga']","['Operating_System', 'Device', 'Operating_System', 'Device', 'Device', 'Device', 'Device']","['ZX Spectrum', 'Amstrad CPC', 'MSX', 'IBM PC', 'Amstrad PCW', 'Atari ST', 'Amiga']"
"The family , which would have come in the Glaze3D 1200 , Glaze3D 2400 and Glaze3D 4800 models , was supposed to offer full support for DirectX 7 , OpenGL 1.2 , AGP 4× , 4× anisotropic filtering , full-screen anti-aliasing and a host of other technologies not commonly seen at the time .","['Glaze3D', 'Glaze3D', 'Glaze3D', 'DirectX 7', 'OpenGL', 'AGP']","['Device', 'Device', 'Device', 'Application', 'Application', 'Architecture']","['DirectX', 'OpenG', 'AGP']"
"The retail game was released for the PlayStation 2 on November 7 , 2006 , in North America , November 15 , 2006 in Australia , and November 24 , 2006 , in Europe .","['PlayStation 2', '2006', '2006', '2006']","['Device', 'Application', 'Application', 'Application']",['PlayStation 2']
"The "" open "" ( hollow ) and separate "" closed "" ( solid ) Apple logo keys on the Apple II series , served functions similar to that of the Command key . The open-Apple key was combined with the Command key on Apple Desktop Bus keyboards ( which were used on both the Apple IIgs and several years of Macintosh models ) where it remained after the Apple II line was discontinued .","['Apple II series', 'Command key', 'open-Apple key', 'Command key', 'Apple Desktop Bus', 'keyboards', 'Apple IIgs', 'Macintosh', 'Apple II']","['Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device']","['Apple II', 'Command key', 'Command key', 'Apple Desktop Bus', 'keyboards', 'Apple IIgs', 'Macintosh', 'Apple II']"
PTS-DOS only supports the timeout value . Globally or locally enables or disables CONFIG.SYS ( and AUTOEXEC.BAT ) single-stepping execution .,"['PTS-DOS', 'CONFIG.SYS']","['Operating_System', 'Device']","['PTS - DOS', 'CO']"
") , also mobile devices like the Pandora .",['Pandora'],['Device'],"['Pandora', 'mobile devices', 'Pandora']"
"Since installing Magic Lantern does not replace the stock Canon firmware or modify the ROM but rather runs alongside it , it is both easy to remove and carries little risk .","['Magic Lantern', 'firmware']","['Device', 'Application']","['Magic Lantern', 'firmware', 'ROM']"
Sudoku Gridmaster ( known as Puzzle Series Vol .,"['Sudoku Gridmaster', 'Puzzle Series']","['Device', 'Application']",['Sudoku Gridmaster']
"Reviewing the Sega CD version , GamePro remarked that "" This frisky first-person blast-a-thon looks and feels like a bad live-action movie .",['Sega CD'],['Device'],"['Sega CD', 'blast']"
These games are Xbox One and backwards compatible Xbox 360 and Xbox games that are enhanced by console-specific updates/patches when played on an Xbox One X .,"['Xbox One', 'Xbox 360 and Xbox', 'Xbox One']","['Device', 'Device', 'Device']","['Xbox One', 'Xbox 360', 'Xbox', 'Xbox One X', 'Xbox One', 'Xbox 360', 'Xbox', 'Xbox One']"
"It described Lisa as having a 68000 and 128KB RAM , and "" designed to compete with the new Xerox Star at a considerably lower price "" .","['Lisa', '68000', 'RAM', 'Xerox Star']","['Device', 'Device', 'Architecture', 'Operating_System']","['Lisa', '680', 'RAM', 'Xerox Star']"
"Also library can read images from embedded pdf documents.more than 60 barcode typesVSBarcodeReader Vision Smarts SPRL Proprietary , Royalty-freeReadObjective-C , Swift , Java , KotliniOS , Android , Xamarin , Cordova , IonicVision Smarts Barcode Scanner SDK reads barcodes using the camera of the mobile device .","['Proprietary', 'Swift', 'Java', 'Android', 'Xamarin', 'Cordova', 'Barcode Scanner', 'camera']","['Application', 'Application', 'Device', 'Application', 'Application', 'Protocol', 'Device', 'Device']","['camera', 'mobile device', 'library', 'Pro', 'Swift', 'Java', 'Android']"
"It was manufactured on a 250nm process , like Savage 3D .",['Savage 3D'],['Device'],"['250nm', 'Savage 3D']"
A similar effect was used in Apple 's Newton OS .,['Newton OS'],['Device'],['Newton OS']
"FreeBSD ) , and BeOS 5 , which only works on the Award SiS 497 motherboard .","['FreeBSD', 'BeOS 5']","['Operating_System', 'Device']","['Award SiS 497 motherboard', 'FreeBSD', 'BeOS 5', 'FreeBSD', 'Be']"
"Electricity was sent wirelessly to a lamp on stage , lighting a 60 watt light bulb that uses more power than a typical laptop computer .",['laptop computer'],['Device'],"['laptop computer', 'laptop computer']"
"This list contains general information about graphics processing units ( GPUs ) and video cards from Nvidia , based on official specifications .","['graphics processing units', 'GPUs', 'video cards']","['Architecture', 'Architecture', 'Device']","['graphics processing units', 'GPUs', 'video cards', 'graphics processing units', 'GPUs', 'video cards']"
"In DOS , the caller 's current directory can be directly altered by the batch file 's use of this command .","['DOS', 'current directory', 'command']","['Device', 'Application', 'Application']","['DOS', 'directory']"
Cable operators complained about the high cost of the computer needed to run the service as well as the cost of the in-home PlayCable adapters ; the adapters proved to be inadequate to run the larger Intellivision games being produced .,"['PlayCable', 'Intellivision']","['Device', 'Operating_System']","['computer', 'PlayCable adapters', 'PlayCable', 'Intellivision']"
"Overhead projectors were introduced into U.S. military training during World War II as early as 1940 and were quickly being taken up by tertiary educators , and within the decade they were being used in corporations .",['Overhead projectors'],['Device'],"['Overhead projectors', 'Overhead projectors']"
It accepts one video input and splits the image into parts corresponding to displays in the video wall .,['video wall'],['Device'],[]
ABC 80 was also manufactured on license as BRG ABC80 by Budapesti Rádiótechnikai Gyár in Hungary .,"['ABC 80', 'ABC80']","['Device', 'Device']",['ABC 80']
"In 2018 , The Day of Σ was included in the video game compilations Mega Man X Legacy Collection 1 and 2 ; although the full anime was included and remastered in high-definition , the actual game is n't included , making it and Mega Man X : Command Mission the only two 3D entries not included .","['Mega Man X Legacy Collection', 'Mega Man X : Command Mission']","['Device', 'Application']","['The Day of Σ', 'Mega Man X', 'Mega Man X : Command Mission']"
"The Odra 1300 series ( Odra 1304 , Odra 1305 and Odra 1325 ) were a range of 1900 compatible machines built by Elwro in Wrocław , Poland between 1971 and 1978 . By agreement with ICL the Odra machines ran standard ICL software ( executive E6RM , George 3 ) . Second generation "" S3E "" ( microcoded ) versions of the larger New Range systems ( such as the 2960/2966 from West Gorton , and the later 2940/50 from Stevenage ) , could run 1900 series code under DME ( Direct Machine Environment ) as an emulation as well as the New Range instruction set under the newer VME ( Virtual Machine Environment ) . Later CME ( Concurrent Machine Environment ) microcode was developed , which allowed DME and VME to co-exist ( and run ) concurrently on the same platform , similar to the functionality offered by virtualisation software such as VMware today . The FP6000 ran under the control of operators executive , a simple operating system that allowed the operator using the system console to load programs from magnetic tape , cards or paper tape , allocate peripherals to programs and attribute priorities to running programs .","['Odra', 'Odra', 'Odra', 'Odra', 'Odra', 'George 3', 'microcoded', 'New Range', 'Direct Machine Environment', 'emulation', 'New Range', 'VME', 'microcode', 'VME', 'virtualisation', 'cards']","['Device', 'Device', 'Device', 'Device', 'Device', 'General_Concept', 'Device', 'Device', 'Operating_System', 'Application', 'Device', 'General_Concept', 'Device', 'General_Concept', 'General_Concept', 'Architecture']","['DME', 'VME', 'CME', 'Odra', 'Odra', 'Odra', 'Odra', 'Odra', 'George 3', 'microcode', 'New Range', 'Direct Machine Environment', 'em', 'New Range', 'VME', 'microcode', 'VME', 'virtualisation', 'cards']"
"The Sydney Morning Herald gave the PS2 version one star out of five , saying , "" Those with a sadistic streak will enjoy hurling cars , gobbling victims and belching .",['PS2'],['Device'],['PS2']
Version 3.1 is the last version of Ami Pro released ( all versions were 16 bit ) .,"['Ami Pro', '16 bit']","['Operating_System', 'Device']","['Ami Pro', '16 bit']"
It uses the Matchbox window manager and the GTK-based Hildon framework as its GUI and application framework .,"['Matchbox', 'window manager', 'Hildon', 'GUI', 'application framework']","['Device', 'Application', 'Language', 'Application', 'Application']","['Matchbox', 'window manager', 'Hildon', 'GUI', 'application framework']"
"One of the only major users of the ARM for performance-related products at that time was Apple , whose Newton device was based on the ARM platform .",['Newton'],['Device'],"['Newton', 'ARM', 'Newton', 'ARM']"
"Other examples of SPC-based third-generation switching systems include the British GPO TXE ( various manufacturers ) , Metaconta 11 ( ITT Europe ) , and the AKE , ARE .","['switching systems', 'TXE']","['Device', 'Device']","['third - generation switching', 'GPO']"
"By shoe-horning variety into the game it loses its focus , which combined with silly game design decisions — the dogfights really should 've been left on the drawing board — and a handful of game-breaking bugs — Tintin crashed on more than one occasion during it 's hard to recommend this to anyone other than diehard fans of both the comics and the movie "" .",['dogfights'],['Device'],['bugs']
"Costing between and million to install , each system included overhead projectors which displayed airborne targets behind a mountainous or forest landscape , and a mechanism that consisted of reflections which detected whether or not the "" laser shot "" hit the flying target on the projector .",['overhead projectors'],['Device'],"['overhead projectors', 'projector']"
"A 60-bit word can contain any combination of 15-bit and 30-bit instructions that fit within the word , but a 30-bit instruction can not wrap to the next word .",['60-bit'],['Device'],[]
"The Dell Inspiron 518 supports Intel Core 2 Quad , Intel Core 2 Duo , Intel Pentium Dual-Core and Intel Celeron processors .","['Intel Pentium Dual-Core', 'Intel Celeron processors']","['Device', 'Device']","['Dell Inspiron', 'Intel Core', 'Intel Pentium', 'Intel Celeron']"
"All models featured Intel Kaby Lake dual - and quad-core processors , AMD and Nvidia professional graphics , up to 64GB of RAM , and Thunderbolt 3 .","['Intel Kaby Lake', 'Thunderbolt']","['Device', 'Protocol']","['Intel Kaby Lake', 'quad core processors', 'RAM', 'Thunder']"
"It was discontinued with no direct replacement ; while the 630 's form factor was retained with the Power Macintosh 6200 introduced a few months earlier , but with an entry price of $ 2,300 it cost nearly twice as much .",['Power Macintosh 6200'],['Device'],['Power Macintosh 6200']
The 2019 Mac Pro returns to a tower form factor and features a prominent lattice pattern on its front and rear .,"['Mac Pro', 'tower']","['Device', 'General_Concept']",['Mac Pro']
"Initially , Titan used Jaguar 's 10PB of Lustre storage with a transfer speed of 240GB/s , but in April 2013 , the storage was upgraded to 40PB with a transfer rate of 1.4TB/s .","['Titan', 'Jaguar', 'Lustre']","['Device', 'Device', 'Application']","['Lustre', 'Titan', 'Lustre']"
"Eternal Poison , released in Japan as , is a turn-based tactical role-playing game developed mainly by Flight-Plan , published and produced by Banpresto for the PlayStation 2 .","['Eternal Poison', 'PlayStation 2']","['Application', 'Device']","['Eternal Poison', 'PlayStation 2']"
"Instead of the login program , getty may also be set up by the system administrator to run any other program , for example pppd ( point-to-point protocol daemon ) to provide a dial-up Internet connection .","['login', 'getty', 'system administrator', 'point-to-point protocol', 'daemon']","['General_Concept', 'Device', 'Application', 'Protocol', 'Operating_System']","['getty', 'pppd', 'log', 'system administrator', 'daemon']"
"The "" B "" and "" T "" registers were provided because the Cray-1 did not have a data cache .","['Cray-1', 'data', 'cache']","['Device', 'General_Concept', 'General_Concept']","['Cray-1', 'Cray - 1', 'data cache']"
Flintlock : The Siege of Dawn is an upcoming action role-playing video game developed by A44 Games and published by Kepler Interactive .,"['Flintlock : The Siege of Dawn', 'action role-playing video game']","['Device', 'Application']","['Flintlock : The Siege of Dawn', 'action role - playing video game']"
"3D via HDMI standard on PS3 Dirt : Showdown Windows 2012 Test Drive Unlimited 2 ( stereoscopic DLC ) Xbox 360 , PS3 , Windows2011Xbox 360 and PS3 : Only with DLC , 3D via HDMI standard , Windows : NVIDIA 3DVision Silent Hill : Downpour PS3 2012 3D via HDMI standard Max Payne 3 Windows , Xbox 360 , PS3 2012 NVIDIA 3DVision Sleeping Dogs Windows , Xbox 360 , PS3 2012 NVIDIA 3DVision Doom 3 BFG Edition Linux , Windows , PS3 , Xbox 360 2012 side-by-side , interleaved , NVIDIA 3DVision Hitman : Absolution Windows , PS3 2012native AMD HD3D support Crysis 3 Windows , PS3 , Xbox 360 2013side-by-side , interlaced , NVIDIA 3DVision Tomb Raider Windows , PS3 , Xbox 360 2013 native AMD HD3D support , NVIDIA 3DVisionTrine 2Linux , Windows , MacOS , PS3 , PS4 , Xbox 360 , Wii U2013side-by-side , top-bottom , line-interlace , DLP-checkerboard , NVIDIA 3DVision , AMDHD3D , iZ3D Daylight Windows , PS4 2014 The Pinball Arcade PS3 2014 Patch for stereoscopic 3D support released for PlayStation 3 in 2014 Elite Dangerous Windows , OS X , Xbox One 2015side-by-side , Anaglyph mode Xonotic Linux , Windows , Mac 2015 Anaglyph mode , LCD Shutter Glasses , side-by-side , Head-mounted display , polarized stereo LCDs , if supported by drivers .","['3D via HDMI standard', 'PS3', 'Dirt : Showdown', 'Windows', 'Test Drive Unlimited 2', 'stereoscopic', 'Xbox 360', 'PS3', '360', 'PS3', '3D via HDMI standard', 'Windows', 'NVIDIA 3DVision', 'Silent Hill : Downpour', 'PS3', '3D via HDMI standard', 'Max Payne 3', 'Windows', 'Xbox 360', 'PS3', 'NVIDIA 3DVision', 'Sleeping Dogs', 'Windows', 'Xbox 360', 'PS3', 'NVIDIA 3DVision', 'Doom 3 BFG Edition', 'Linux', 'Windows', 'PS3', 'Xbox 360', 'side-by-side', 'interleaved', 'NVIDIA 3DVision', 'Hitman : Absolution', 'Windows', 'PS3', 'AMD HD3D', 'Crysis 3', 'Windows', 'PS3', 'Xbox 360', 'NVIDIA 3DVision', 'Tomb Raider', 'Windows', 'PS3', 'Xbox 360', 'AMD HD3D', 'Windows', 'MacOS', 'PS3', 'PS4', 'Xbox 360', 'Wii', 'top-bottom', 'line-interlace', 'DLP-checkerboard', 'NVIDIA 3DVision', 'AMDHD3D', 'Daylight', 'Windows', 'PS4', 'The Pinball Arcade', 'PS3', 'stereoscopic 3D', 'PlayStation 3', 'Elite Dangerous', 'Windows', 'OS X', 'Xbox One', 'Anaglyph mode', 'Xonotic', 'Linux', 'Windows', 'Mac', 'Anaglyph mode', 'LCD Shutter Glasses', 'side-by-side', 'Head-mounted display']","['Protocol', 'Operating_System', 'Application', 'Application', 'Application', 'Algorithm', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System', 'Protocol', 'Application', 'Algorithm', 'Application', 'Operating_System', 'Protocol', 'Application', 'Application', 'Operating_System', 'Operating_System', 'Algorithm', 'Application', 'Application', 'Operating_System', 'Operating_System', 'Algorithm', 'Application', 'Application', 'Application', 'Operating_System', 'Operating_System', 'Algorithm', 'Algorithm', 'Algorithm', 'Application', 'Application', 'Operating_System', 'Algorithm', 'Application', 'Application', 'Operating_System', 'Operating_System', 'Algorithm', 'Application', 'Application', 'Operating_System', 'Operating_System', 'Algorithm', 'Application', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System', 'Algorithm', 'Algorithm', 'Algorithm', 'Algorithm', 'Algorithm', 'Application', 'Application', 'Operating_System', 'Application', 'Operating_System', 'Algorithm', 'Operating_System', 'Protocol', 'Application', 'Operating_System', 'Device', 'Algorithm', 'Application', 'Application', 'Application', 'Device', 'Algorithm', 'Algorithm', 'Algorithm', 'General_Concept']","['DLP-checkerboard', 'LCD Shutter Glasses', 'Head-mounted display', 'polarized stereo LCDs', 'Windows2011Xbox 360', 'Windows', 'Linux', 'OS X', 'HDMI', 'PS3', 'Dirt : Showdown', 'Windows', 'Test Drive Unlimited 2', 'stereo', 'Xbox 360', 'PS3', '360', 'PS3', 'HDMI', 'Windows', 'Silent Hill : Downpour', 'PS3', 'HDMI', 'Max Payne 3', 'Windows', 'Xbox 360', 'PS3', 'Sleeping Dogs', 'Windows', 'Xbox 360', 'PS3', 'Doom 3 BFG Edition', 'Linux', 'Windows', 'PS3', 'Xbox 360', 'Hitman : Absolution', 'Windows', 'PS3', 'Crysis 3', 'Windows', 'PS3', 'Xbox 360', 'Tomb Raider', 'Windows', 'PS3', 'Xbox 360', 'HD', 'Windows', 'MacOS', 'PS3', 'PS4', 'Xbox 360', 'Wiilight', 'Windows', 'PS4', 'The Pinball Arcade', 'PS3', 'stereoscopic 3D', 'PlayStation 3', 'Elite Dangerous', 'Windows', 'OS X', 'Xbox One', 'Linux', 'Windows', 'Head mounted display']"
"An Extended Cut edition for PlayStation 3 , compatible with the PlayStation Move accessory , was released in 2011 .","['PlayStation 3', 'PlayStation Move']","['Operating_System', 'Device']","['PlayStation 3', 'PlayStation 3', 'PlayStation Move']"
"Announced in May 2014 , Lenovo ThinkPad 10 is a successor to the ThinkPad Tablet 2 and was scheduled to launch in the summer of 2014 along with accessories such as a docking station and external detachable magnetic keyboards .","['Lenovo ThinkPad', 'ThinkPad Tablet 2', 'keyboards']","['Operating_System', 'Device', 'Device']","['Lenovo ThinkPad 10', 'ThinkPad Tablet 2', 'Lenovo ThinkPad 10', 'ThinkPad Tablet 2', 'docking station', 'keyboards']"
"CTOS ran on Intel x86 computers , and could run concurrently with Windows NT on Unisys PC .","['CTOS', 'Intel x86', 'Windows NT']","['Operating_System', 'Operating_System', 'Device']","['Intel x86 computers', 'Unisys PC', 'Windows NT', 'Intel x86', 'Windows NT']"
The bomb aimer would first dial in the altitude and airspeed of the aircraft .,['bomb'],['Device'],"['bomb', 'altitude']"
"Sports Champions 2 is a 2012 sports video game developed by San Diego Studio and Zindagi Games and published by Sony Computer Entertainment for PlayStation 3 , which utilizes PlayStation Move .","['Sports Champions 2', 'PlayStation 3', 'PlayStation Move']","['Application', 'Operating_System', 'Device']","['PlayStation Move', 'Sports Champions 2', 'PlayStation 3', 'PlayStation Move']"
"Also , pressing the option key when clicking a hyperlink causes the link target to be downloaded .",['option key'],['Device'],['option key']
Eurogamer said the PS2 version was enjoyable but not particularly innovative .,['PS2'],['Device'],['PS2']
"3270 AT/G and GX ( System Unit 5373 ) - corresponds to the 3270 PC/G and PC/GX , respectively , but based on an IBM AT .","['3270', '3270', 'PC/GX', 'IBM AT']","['Operating_System', 'Operating_System', 'Device', 'Operating_System']","['3270 AT/G', 'GX', 'System Unit 5373', '3270 PC/G', 'PC/GX', 'IBM AT', '3270', '3270', 'IBM AT']"
"kb August 1994 FPD 2.6a FoxPro 2.6a for DOS 1,788 kb August 1994 FPW 2.6 FoxPro 2.6 for Windows 2.52 Mb 9 March 1994 FPM 2.6 FoxPro 2.6 for Macintosh ?",['Macintosh'],['Device'],"['##b', 'FoxPro', 'DOSb', 'FPW', 'FoxPro', 'Windows', 'FoxPro', 'Macintosh']"
"The director of the Super Mario 128 demo , Yoshiaki Koizumi , became the director of Super Mario Galaxy .","['Super Mario 128', 'Super Mario Galaxy']","['Device', 'Application']","['Super Mario 128', 'Super Mario Galaxy']"
"In Japan , After Burner II was released on the PlayStation 2 as part of the Sega Ages classic series .","['After Burner II', 'PlayStation 2']","['Device', 'Device']","['After Burner II', 'PlayStation 2']"
"As a security and auditing feature , sudo may be configured to log each command run .",['sudo'],['Device'],['sudo']
"By June 27 , 2013 , Nintendo had discontinued almost all WiiConnect24 services .",['WiiConnect24'],['Device'],['WiiConnect24']
"The same processors with different sets of features ( Hyper-threading and other clock frequencies ) enabled are sold as Core i7-8xx and Xeon 3400-series processors , which should not be confused with high-end Core i7-9xx and Xeon 3500-series processors based on Bloomfield .","['Hyper-threading', 'Core i7-8xx', 'Xeon', 'Xeon', 'Bloomfield']","['Operating_System', 'Device', 'Device', 'Device', 'Device']","['Hyper threading', 'Core', 'Xeon', 'Core', 'Xeon', 'Bloomfield']"
"Speakers are most often used in pairs , which allows the speaker system to produce positional audio .","['Speakers', 'positional audio']","['Device', 'Application']",['positional audio']
"Also in 1962 , IBM introduced the model 1311 disk drive , which was about the size of a washing machine and stored two million characters on a removable disk pack .","['model 1311', 'disk drive', 'disk pack']","['Device', 'Device', 'Operating_System']","['disk drive', 'washing machine', 'disk drive', 'disk pack']"
PowerPoint was introduced for the Macintosh computer in 1987 .,"['PowerPoint', 'Macintosh computer']","['Application', 'Device']","['PowerPoint', 'Macintosh computer', 'PowerPoint', 'Macintosh computer']"
Spooks is a video game written for the Commodore 64 by Nigel P . Johnstone and published by Mastertronic in 1985 .,['Spooks'],['Device'],"['Spooks', '1985']"
Conversion from chord track to note events.14 September5.4.0Native Apple silicon support .,['Apple silicon'],['Device'],['Apple silicon']
"In 1974 , Atari engineer Harold Lee proposed a home version of Pong that would connect to a television : Home Pong .","['Pong', 'Pong']","['Device', 'Device']","['television', 'Pong', 'Pong']"
"The player holds the unit in a vertical book orientation ( similar to Ninja Gaiden : Dragon Sword or Hotel Dusk : Room 215 ) , and uses a special guitar pick-shaped stylus to strum on the touchscreen of the DS with their free hand .","['Ninja Gaiden : Dragon Sword', 'Hotel Dusk : Room 215', 'stylus', 'touchscreen', 'DS']","['Application', 'Application', 'Device', 'Device', 'Device']","['DS', 'Ninja Gaiden : Dragon Sword', 'Hotel Dusk : Room 215', 'slus', 'DS']"
"iPhone 7 is rated IP67 water and dust resistant , making it the first officially water-resistant iPhone , although tests have resulted in malfunctions , specifically distorted speakers , after water exposure .","['iPhone', 'iPhone']","['Device', 'Device']","['iPhone 7', 'iPhone', 'iPhone', 'iPhone']"
Processor family ModelCores Clock rate ( GHz ) Integrated graphics Cache TDP ( W ) Price ( USD ) Socket Launch Base Turbo 2.0 Max .,"['Processor', 'Cache', 'TDP', 'Turbo']","['Architecture', 'General_Concept', 'General_Concept', 'Device']","['Cache', 'TD']"
"Apple has developed a tightly integrated device and content management ecosystem with their iTunes Store , personal computers , iOS devices , and the AppleTV digital media receiver .","['iOS devices', 'AppleTV', 'digital media receiver']","['Operating_System', 'Device', 'Application']","['personal computers', 'iOS devices', 'AppleTV', 'iOS', 'iTunes', 'personal computers', 'iOS', 'AppleTV', 'digital media']"
"Most reviews concluded that while a handful of shortcomings keep Extreme-G from being a top-ranked game , it was impressive enough to recommend .",['Extreme-G'],['Device'],['Extreme - G']
"Bundled together as Angry Birds Trilogy , the games were built specifically for their respective consoles , taking advantage of their unique features , such as support for PlayStation Move , Kinect , high-definition displays , and glasses-free 3D visuals . The trilogy was also available for Wii and Wii U .","['Angry Birds Trilogy', 'PlayStation Move', 'Kinect', '3D visuals', 'Wii', 'Wii U']","['Application', 'Device', 'Algorithm', 'Algorithm', 'Operating_System', 'Device']","['PlayStation Move', 'Kinect', 'Angry Birds', 'PlayStation Move', 'Kinect', 'Wii', 'Wii U']"
"In March 2017 , a Microsoft knowledge base article announced which implies that devices using Intel Kaby Lake , AMD Bristol Ridge , or AMD Ryzen , would be blocked from using Windows Update entirely .",['Intel Kaby Lake'],['Device'],['Intel Kaby Lake']
"To take advantage of the drive 's extended storage and new capabilities , it required the new SWIM ( Sander – Wozniak Integrated Machine ) floppy disk controller chip to be present on the Macintosh and Apple II , the latter requiring the Apple II 3.5 Disk Controller Card which integrated the chip .","['SWIM', 'floppy', 'disk controller', 'Macintosh', 'Apple II', 'Apple II', 'Disk Controller']","['General_Concept', 'Device', 'General_Concept', 'Device', 'Device', 'Device', 'General_Concept']","['Macintosh', 'Apple II', 'fl disk', 'Macintosh', 'Apple II']"
"The first Soviet pocket battery-powered programmable calculator , Elektronika B3-21 , was developed by the end of 1976 and released at the start of 1977 .","['programmable calculator', 'Elektronika B3-21']","['Application', 'Device']","['pocket battery-powered programmable calculator', 'Elektronika B3-21', 'programmable calculator']"
"While workers of those fields primarily ran Unix-based operating systems on workstations at the time , the Compaq Professional Workstation came preinstalled with Windows NT 4.0 Workstation ( later Windows 2000 Professional ) .","['workstations', 'Compaq Professional Workstation', 'Workstation']","['Device', 'Device', 'Device']","['workstations', 'Compaq Professional Workstation', 'Windows NT 4 . 0', 'Workstation', 'Windows 2000']"
"Originally released for the PlayStation in Japan in December 1997 , an English version was later made available in North America in September 1998 .",['PlayStation'],['Device'],['PlayStation']
"This upgrade was released in several forms : the first was the PC Engine Duo on September 21 , a new model of the console with a CD-ROM drive and upgraded BIOS/RAM already built into the system .","['PC Engine', 'CD-ROM']","['General_Concept', 'Device']","['CD-ROM', 'PC Engine', 'CD', 'RAM']"
Users can run the Tor Browser from removable media .,"['Tor', 'Browser', 'removable media']","['Application', 'Application', 'Device']","['Tor Browser', 'Tor Browser']"
The OSF created the Motif GUI as its alternative to OPEN LOOK .,"['Motif', 'GUI', 'OPEN LOOK']","['Device', 'Application', 'Operating_System']","['Motif', 'GUI', 'OPEN LOOK']"
"The TI-92 was originally released in 1995 , and was the first symbolic calculator made by Texas Instruments .",['TI-92'],['Device'],['TI - 92']
"Typically in most desktop computer systems , this admission will be approved automatically .",['desktop computer'],['Device'],['desktop computer']
"Assault Heroes is an arcade-style , top-down shooter video game developed by Wanako Games .",['Assault Heroes'],['Device'],['Assault Heroes']
It was built to be paired with the Intel 8088 or 8086 microprocessors .,"['Intel 8088', '8086 microprocessors']","['Device', 'General_Concept']","['Intel 8088', '8086cess']"
"All of these computers were also sold to the consumer market through department stores under the Macintosh Performa brand , with similar model numbers .",['Macintosh Performa'],['Device'],['Macintosh Performa']
"In January 2006 , Apple Inc . shipped its first Intel-based Macintosh computers .",['Intel-based Macintosh computers'],['Device'],"['Intel-based Macintosh computers', 'Intel - based Macintosh computers']"
"Zhaoxin ( Shanghai Zhaoxin Semiconductor Co. , Ltd. ; , ) is a fabless semiconductor company , created in 2013 as a joint venture between VIA Technologies and the Shanghai Municipal Government .","['Zhaoxin', 'Shanghai', 'Zhaoxin', 'fabless semiconductor company', 'Shanghai']","['Device', 'Device', 'Device', 'Algorithm', 'Device']","['Zhao', 'Zhao', 'fabless semiconductor company']"
